United Natural Foods, Inc - East Region~~~~~~~~~~~~~~~~,,
Customer Invoice History Report~~~~~~~~Time Period: 07/07/2019   to 07/09/2019  ~~~~~~~~,,,
Customer: 23223    SANDJOHN HVA             ~~~~~~~~~~~~~~~~,,,
Invoice  #~PO Number~Inv Date~Cust #~Chain~Prod #~UPC Number~Brand~Description~Pack~Size~Ordered~Shipped~Disc Descr~Discounts~Tax~Ext Net Unit,,,
Invoice Number:~~44788427~~~~~~~~~~~~~~,,,
44788427~24812-1883684~07/08/2019  ~23223~HGN~1582063~052603-043120~PACIFC~ALMOND BEV,ORIG,BARISTA~12~32 FZ~2~2~~$0.00~$0.00~$55.92,
44788427~24812-1883684~07/08/2019  ~23223~HGN~1196021~000000-000000~UNFI~CALCULATED SHIPPING CHARG~1~EA~1~1~POV  0~$0.00~$0.00~$46.17,,,
Totals for Invoice Number:~~~44788427~~~~~~~~3~3~~$0.00~$0.00~$102.09,,,
~~~~~~~~~~~~~~~~,,,
Invoice Number:~~44790174~~~~~~~~~~~~~~,,,
44790174~24812-1883826~07/08/2019  ~23223~HGN~1171453~073416-003040~LUNDBG~RICE,OG2,BRN,SHORT GRAIN~6~1 LB~1~1~~$0.00~$0.00~$16.87
44790174~24812-1883826~07/08/2019  ~23223~HGN~1196021~000000-000000~UNFI~CALCULATED SHIPPING CHARG~1~EA~1~1~POV  0~$0.00~$0.00~$7.65,,,
Totals for Invoice Number:~~~44790174~~~~~~~~2~2~~$0.00~$0.00~$24.52,,,
~~~~~~~~~~~~~~~~,,,
~~~~~~~~~~~~~~~~,,,
Totals for Customer:~~23223~SANDJOHN HVA             ~~~~~~~~610~610~~$0.18~$0.00~$12,13.54,,
~~~~~~~~~~~~~~~~,,,
,,,
,,,
7/9/2019 2:32:35 PM~~~~~~~~Page 1 of 1~~~~~~~~,,,
